0,10+ years
1,< 1 year
2,10+ years
3,10+ years
4,1 year
5,3 years
6,8 years
7,9 years
8,4 years
9,< 1 year
10,5 years
11,10+ years
12,< 1 year
13,3 years
14,3 years
15,< 1 year
16,4 years
17,10+ years
18,1 year
19,6 years
20,3 years
21,10+ years
22,10+ years
23,5 years
24,1 year
25,2 years
26,9 years
27,2 years
28,10+ years
29,< 1 year
30,7 years
31,5 years
32,2 years
33,2 years
34,7 years
35,10+ years
36,2 years
37,1 year
38,1 year
39,1 year
40,4 years
41,10+ years
42,9 years
43,10+ years
44,10+ years
45,6 years
46,10+ years
47,6 years
48,10+ years
49,5 years
50,8 years
51,9 years
52,< 1 year
53,4 years
54,1 year
55,7 years
56,7 years
57,< 1 year
58,2 years
59,1 year
60,< 1 year
61,6 years
62,< 1 year
63,< 1 year
64,10+ years
65,7 years
66,5 years
67,4 years
68,4 years
69,2 years
70,5 years
71,5 years
72,1 year
73,3 years
74,< 1 year
75,10+ years
76,10+ years
77,< 1 year
78,1 year
79,10+ years
80,3 years
81,2 years
82,6 years
83,4 years
84,10+ years
85,2 years
86,4 years
87,< 1 year
88,9 years
89,4 years
90,< 1 year
91,3 years
92,3 years
93,10+ years
94,4 years
95,6 years
96,4 years
97,7 years
98,10+ years
99,< 1 year
100,2 years
101,7 years
102,8 years
103,6 years
104,7 years
105,10+ years
106,10+ years
107,10+ years
108,5 years
109,10+ years
110,8 years
111,8 years
112,3 years
113,5 years
114,1 year
115,9 years
116,6 years
117,2 years
118,1 year
119,1 year
120,10+ years
121,4 years
122,3 years
123,4 years
124,10+ years
125,10+ years
126,7 years
127,10+ years
128,6 years
129,3 years
130,< 1 year
131,8 years
132,5 years
133,2 years
134,10+ years
135,4 years
136,1 year
137,10+ years
138,2 years
139,5 years
140,1 year
141,2 years
142,4 years
143,1 year
144,7 years
145,2 years
146,4 years
147,8 years
148,6 years
149,5 years
150,1 year
151,8 years
152,5 years
153,10+ years
154,5 years
155,1 year
156,< 1 year
157,2 years
158,2 years
159,10+ years
160,10+ years
161,2 years
162,2 years
163,5 years
164,3 years
165,2 years
166,10+ years
167,10+ years
168,Meh
169,2 years
170,2 years
171,2 years
172,4 years
173,1 year
174,5 years
175,5 years
176,< 1 year
177,6 years
178,10+ years
179,3 years
180,3 years
181,10+ years
182,10+ years
183,8 years
184,10+ years
185,2 years
186,9 years
187,7 years
188,1 year
189,5 years
190,10+ years
191,5 years
192,5 years
193,5 years
194,10+ years
195,8 years
196,10+ years
197,5 years
198,4 years
199,6 years
200,5 years
201,10+ years
202,5 years
203,10+ years
204,3 years
205,2 years
206,3 years
207,10+ years
208,7 years
209,6 years
210,2 years
211,< 1 year
212,10+ years
213,1 year
214,< 1 year
215,9 years
216,4 years
217,10+ years
218,2 years
219,2 years
220,< 1 year
221,< 1 year
222,10+ years
223,7 years
224,3 years
225,10+ years
226,6 years
227,< 1 year
228,10+ years
229,2 years
230,7 years
231,2 years
232,5 years
233,5 years
234,7 years
235,10+ years
236,< 1 year
237,< 1 year
238,1 year
239,10+ years
240,8 years
241,10+ years
242,4 years
243,5 years
244,5 years
245,4 years
246,2 years
247,1 year
248,5 years
249,3 years
250,10+ years
251,2 years
252,10+ years
253,10+ years
254,1 year
255,10+ years
256,10+ years
257,5 years
258,3 years
259,10+ years
260,1 year
261,2 years
262,6 years
263,10+ years
264,7 years
265,4 years
266,7 years
267,2 years
268,8 years
269,1 year
270,10+ years
271,9 years
272,1 year
273,< 1 year
274,9 years
275,10+ years
276,5 years
277,5 years
278,10+ years
279,2 years
280,4 years
281,9 years
282,5 years
283,10+ years
284,3 years
285,1 year
286,10+ years
287,6 years
288,6 years
289,1 year
290,7 years
291,10+ years
292,3 years
293,9 years
294,10+ years
295,10+ years
296,1 year
297,10+ years
298,1 year
299,5 years
300,3 years
301,6 years
302,2 years
303,6 years
304,10+ years
305,10+ years
306,5 years
307,1 year
308,6 years
309,5 years
310,3 years
311,< 1 year
312,5 years
313,3 years
314,10+ years
315,3 years
316,3 years
317,10+ years
318,1 year
319,2 years
320,3 years
321,2 years
322,5 years
323,Meh
324,2 years
325,5 years
326,10+ years
327,3 years
328,10+ years
329,10+ years
330,3 years
331,6 years
332,< 1 year
333,2 years
334,2 years
335,7 years
336,8 years
337,2 years
338,7 years
339,5 years
340,10+ years
341,9 years
342,7 years
343,5 years
344,10+ years
345,< 1 year
346,10+ years
347,8 years
348,2 years
349,7 years
350,5 years
351,10+ years
352,2 years
353,6 years
354,10+ years
355,10+ years
356,4 years
357,6 years
358,9 years
359,4 years
360,1 year
361,3 years
362,10+ years
363,8 years
364,10+ years
365,5 years
366,10+ years
367,8 years
368,5 years
369,6 years
370,1 year
371,3 years
372,2 years
373,4 years
374,1 year
375,3 years
376,3 years
377,6 years
378,< 1 year
379,7 years
380,3 years
381,1 year
382,6 years
383,3 years
384,10+ years
385,4 years
386,1 year
387,9 years
388,< 1 year
389,10+ years
390,4 years
391,10+ years
392,1 year
393,6 years
394,Meh
395,3 years
396,1 year
397,< 1 year
398,10+ years
399,4 years
400,5 years
401,4 years
402,10+ years
403,6 years
404,10+ years
405,3 years
406,5 years
407,3 years
408,8 years
409,4 years
410,3 years
411,1 year
412,< 1 year
413,3 years
414,10+ years
415,4 years
416,3 years
417,10+ years
418,5 years
419,10+ years
420,3 years
421,2 years
422,Meh
423,2 years
424,9 years
425,9 years
426,5 years
427,10+ years
428,4 years
429,5 years
430,2 years
431,8 years
432,4 years
433,< 1 year
434,2 years
435,10+ years
436,3 years
437,1 year
438,8 years
439,Meh
440,10+ years
441,2 years
442,5 years
443,10+ years
444,< 1 year
445,3 years
446,10+ years
447,5 years
448,3 years
449,5 years
450,4 years
451,10+ years
452,10+ years
453,10+ years
454,10+ years
